"sentenceA"	"sentenceB"	"label"
"Konzeptionell hat das Abschöpfen von Sahne zwei grundlegende Dimensionen - Produkt und Geographie."	"Produkt und Geografie machen das Abschöpfen von Cremes möglich."	"neutral"
"Sie wissen, während der Saison und ich denke, auf Ihrem Niveau verlieren Sie sie auf das nächste Level, wenn sie sich entscheiden, das Elternteam zurückzurufen, beschließen die Braves anzurufen, um einen Mann von Triple A zurückzurufen, dann steigt ein Doppel-A-Mann auf Ersetze ihn und ein einzelner A-Typ geht hinauf, um ihn zu ersetzen"	"Sie verlieren die Dinge auf die folgende Ebene, wenn sich die Leute erinnern."	"entailment"
"Eine unserer Nummern wird Ihre Anweisungen minutiös ausführen."	"Ein Mitglied meines Teams wird Ihre Aufträge mit immenser Präzision ausführen."	"entailment"
"Woher weißt du das? All dies ist wieder ihre Information."	"Diese Informationen gehören ihnen."	"entailment"
"Ja, ich sage Ihnen was, wenn Sie einige dieser Tennisschuhe kaufen, kann ich sehen, warum Sie jetzt wissen, dass sie im Hundert-Dollar-Bereich aufstehen"	"Die Tennisschuhe haben unterschiedliche Preise."	"neutral"
"Mein Walkman ist kaputt gegangen, also bin ich jetzt verärgert. Ich muss nur die Stereoanlage richtig laut aufdrehen"	"Ich bin verärgert, dass mein Walkman kaputt gegangen ist und jetzt muss ich die Stereoanlage richtig laut aufdrehen."	"entailment"
"Aber ein paar christliche Mosaike, die über der Apsis erhalten sind, sind die Jungfrau mit dem Jesuskind und der Erzengel Gabriel rechts (sein Begleiter Michael links ist verschwunden, bis auf ein paar Federn von seinen Flügeln)."	"Die meisten christlichen Mosaike wurden von Muslimen zerstört."	"neutral"
"(Lesen Sie, wie Slate Jacksons Erkenntnisse aufgreift.)"	"Slate hatte eine Meinung zu Jacksons Ergebnissen."	"entailment"
"Schwule und Lesben."	"Heterosexuelle."	"contradiction"
"Am Ende der Rue des Francs-Bourgeois befindet sich der Place des Vosges mit seinen Fassaden aus Stein und rotem Backstein, der von vielen als der schönste Wohnplatz der Stadt angesehen wird."	"Der Place des Vosges besteht vollständig aus grauem Marmor."	"contradiction"
"Ich platzte durch eine Reihe von Kabinentüren und fiel zu Boden."	"Ich stürmte durch die Türen und fiel hin."	"entailment"
"Spaß für Erwachsene und Kinder."	"Spaß nur für Kinder."	"contradiction"
"Es ist nicht so, dass die Fragen, die sie stellten, nicht interessant oder legitim waren (obwohl die meisten unter die Kategorie der bereits gestellten und beantworteten Fragen fielen)."	"Alle Fragen waren laut einer zu diesem Thema konsultierten Fokusgruppe interessant."	"neutral"
"Theben blieb bis zur 12. Dynastie an der Macht, als sein erster König, Amenemhet I, der zwischen 1980 und 1951 regierte, eine Hauptstadt in der Nähe von Memphis gründete."	"Die Hauptstadt in der Nähe von Memphis dauerte nur ein halbes Jahrhundert, bevor ihre Bewohner sie für die nächste Hauptstadt aufgaben."	"neutral"
"Ich möchte nicht über Ihre Bedenken nachdenken, aber wenn ich Sie wäre, wäre ich möglicherweise besorgter über die kurzfristigen Auswirkungen dieser 1-Dollar-Rate."	"Ich bin mehr besorgt über Ihre Probleme als über die kurzfristigen Auswirkungen auf die Zinssätze."	"contradiction"
"Probleme bei der Datensynthese."	"Probleme bei der Datensynthese."	"entailment"
"Nun, das sieht man auch im Fernsehen"	"Das können Sie auch im Fernsehen sehen."	"entailment"
"Vrenna und ich haben beide gegen ihn gekämpft und er hätte uns fast mitgenommen."	"Weder Vrenna noch ich haben jemals gegen ihn gekämpft."	"contradiction"
"Diese Analyse bündelte Schätzungen aus diesen beiden Studien, um eine CR-Funktion zu entwickeln, die PM mit chronischer Bronchitis verbindet."	"Die Analyse zeigt, dass kein Zusammenhang zwischen PM und Bronchitis besteht."	"contradiction"
"Er drehte sich um und lächelte Vrenna an."	"Er lächelte Vrenna an, die langsam mit ihrer Mutter hinter ihm ging."	"neutral"
"Wir haben versucht, Praktiken zu identifizieren, die von den Agenturen in den letzten 5 Jahren allgemein umgesetzt wurden."	"Wir möchten Praktiken identifizieren, die in den letzten 5 Jahren von Agenturen häufig angewendet wurden"	"entailment"
"Die anderen Männer schlurften."	"Die anderen Männer wurden herumgemischt."	"entailment"
"Die Staaten müssen bei ihren staatlichen Umsetzungsplänen angemessene Fortschritte in Richtung des vom Kongress vorgegebenen Ziels der Rückkehr zu natürlichen Bedingungen in Nationalparks und Wildnisgebieten zeigen."	"Eine Verbesserung ist nicht erforderlich."	"contradiction"
"Nun, es war sehr interessant"	"Es war sehr faszinierend."	"entailment"
"Er ging langsam zurück zum Schlafhaus."	"Er kehrte langsam zum Schlafhaus zurück."	"entailment"
"und es ist ziemlich viel, ich denke, sechs ist der Staat und der Rest des Kuchens geht woanders hin, aber wir sind in einem bestimmten Teil des Staates, dem es ziemlich gut geht, also ist es so, als würden wir viel davon zurückbekommen soweit die lokale Besteuerung geht"	"Ich weiß nicht genau, wohin die lokalen Steuern gehen."	"neutral"
"Sie werden nach einem geheimen Rezept hergestellt, das die heutigen Dorfbewohner von ihren mallorquinischen Vorfahren erhalten haben, die im frühen 17. Jahrhundert im Rahmen eines offiziellen Wiederauffüllungsprogramms hierher kamen."	"Das von mallorquinischen Vorfahren überlieferte Rezept ist allen bekannt."	"contradiction"
"Ja, du bist ein Student, oder?"	"Du bist doch ein Mechanikstudent, oder?"	"neutral"
"Es ist wirklich so, dass ich etwas gehört habe, dass sie eine große Kampagne in New York über Kindesmissbrauch starten und Kindesmissbrauch stoppen sollen, und es soll so sein, als würde es dort beginnen, wie eine große landesweite Kampagne, und Sie wissen so hoffentlich, dass dies der Fall sein wird hebe ab und mache wirklich etwas, von dem ich nicht weiß, dass es nur so ist"	"Es ist bedauerlich, dass niemand eine Kindesmissbrauchskampagne organisiert."	"contradiction"
"Der Postdienst sollte die Zustellfrequenz reduzieren."	"Der Postdienst könnte weniger häufig liefern."	"entailment"
"Bei einer weiteren Verschiebung der Wirtschaft wurde festgestellt, dass Lammfleisch auf Tieflandfarmen kostengünstiger gezüchtet werden kann, was zum Teil auf das reichhaltigere und nahrhaftere Weideland zurückzuführen ist, das infolgedessen verfügbar ist, und infolgedessen wurden Lakeland-Farmen weniger rentabel."	"Eine weitere Verschiebung der Wirtschaft erwies sich als nahrhafter."	"entailment"
"Die Regel enthält Anforderungen an die Informationserfassung, anhand derer die EPA bestimmen kann, dass Waschmittelzusätze verwendet werden, die bei der Kontrolle von Ablagerungen wirksam sind, und dass Emissionskontrollziele erreicht werden."	"Die Regel enthält Datenerfassungsanforderungen, die der EPA helfen, ihre Emissionskontrollziele zu erreichen."	"entailment"
"Fast jeder Hügel im Nordosten hat eine maurische Festung; Nicht weniger als vier zerstörte Festungen bewachen die Hafeneinfahrt. und zwei weitere, noch in gutem Zustand befindliche Burgen von Atalaya und Galeras schützen das Arsenal am Meer, das für das spanische Militär von entscheidender Bedeutung ist."	"Es gibt keine Burgen Atalaya und Galeras."	"contradiction"
"Waren sie da drin?"	"Sollten sie dort drin sein?"	"neutral"
"Felicias Reise findet hinter den Augen eines jungen irischen Mädchens, Felicia, statt, das das Meer nach England überquert, um den Vater ihres ungeborenen Kindes zu finden. und der dicke Catering-Manager mittleren Alters, Hiditch, der sich väterlich für das Mädchen interessiert, wenn klar wird, dass ihr junger Mann ihr den Slip caddisch gegeben hat."	"Der Frau war es egal, wo der Mann war, solange es weit war."	"contradiction"
"In der Krypta sind die Überreste von Voltaire und Rousseau, Hugo und Zola, dem ermordeten sozialistischen Führer Jean Jaurys und Louis Braille, dem Erfinder des Alphabets für Blinde, beigesetzt."	"Die Überreste von Voltaire und Rousseau, Hugo und Zola, dem ermordeten sozialistischen Führer Jean Jaurys und Louis Braille sind alle in der Krypta beigesetzt."	"entailment"
"Es gibt ein Paar namens ähm, oh, ich werde jetzt seinen Namen vergessen, ähm Dirkson"	"Ich kann mich nicht an ihren Namen erinnern"	"entailment"
"Poirot, rief ich erleichtert aus und ergriff ihn mit beiden Händen und zog ihn in den Raum."	"Poirot war jetzt zurück und es tat mir leid, dass er das übernehmen würde, was ich jetzt als meine eigene Untersuchung betrachtete."	"contradiction"
"Das Wort Assuan bedeutet im alten Ägypten tatsächlich Handel oder Markt, was seine herausragendste Tätigkeit bedeutet."	"Assans Bedeutung hat sich im Laufe der Zeit nicht geändert."	"contradiction"
"gut was der Markt ertragen kann und"	"Der Markt kann nichts davon ertragen."	"contradiction"
"Und um zu zeigen, wie schnell sich Japans neue Herrscher durchsetzten, wurden zwei Strafexpeditionen gegen Korea und China in der großartigen Art der Kanonenbootdiplomatie des 19. Jahrhunderts gestartet."	"Japans neue Herrscher fingen schnell an."	"entailment"
